review_id,text,label
1,Very poor quality and slow shipping. refund late one star one star broken http://example.com,negative
2,Exceeded my expectations in every way. love reliable,positive
3,Terrible experience. The item arrived broken. refund waste late waste 👍,negative
4,Works as expected. Nothing special. works average works,neutral
5,Exceeded my expectations in every way. reliable reliable great,positive
6,Terrible experience. The item arrived broken. bad one star waste broken,negative
7,Not worth the money. I want a refund. late refund waste broken bad,negative
8,Support was unhelpful and rude. http://example.com,negative
9,Great value for the price. Will buy again.,positive
10,The item matches the description. works average,neutral
11,I love this product. Highly recommended. five stars great,positive
12,Very poor quality and slow shipping. waste one star,negative
13,"It's fine, does the job. works fine normal okay fine",neutral
14,Very poor quality and slow shipping. one star bad,negative
15,Great value for the price. Will buy again.,positive
16,Great value for the price. Will buy again. reliable excellent excellent five stars great 👍,positive
17,Average experience overall. normal fine normal #deal,neutral
18,Amazing quality and fast delivery! Totally satisfied. love five stars fast,positive
19,Support was unhelpful and rude. bad broken late 👍,negative
20,"Okay product, decent for everyday use. normal standard okay okay normal http://example.com",neutral
21,Support was unhelpful and rude. one star,negative
22,Exceeded my expectations in every way. 👍,positive
23,Support was unhelpful and rude. one star one star broken refund,negative
24,Not worth the money. I want a refund. one star late waste one star late,negative
25,Terrible experience. The item arrived broken. bad,negative
26,Amazing quality and fast delivery! Totally satisfied. five stars great reliable great great,positive
27,"It's fine, does the job. fine",neutral
28,Exceeded my expectations in every way.,positive
29,I love this product. Highly recommended. reliable love fast fast,positive
30,Works as expected. Nothing special. average,neutral
31,Not worth the money. I want a refund. refund one star broken #deal,negative
32,Very poor quality and slow shipping. refund broken refund,negative
33,Amazing quality and fast delivery! Totally satisfied. great,positive
34,Great value for the price. Will buy again. excellent,positive
35,"It's fine, does the job. average",neutral
36,Amazing quality and fast delivery! Totally satisfied. great great reliable,positive
37,I love this product. Highly recommended. love 👍,positive
38,"Okay product, decent for everyday use. fine average fine works",neutral
39,Customer support was helpful and polite. great love reliable,positive
40,The item matches the description.,neutral
41,Amazing quality and fast delivery! Totally satisfied. five stars,positive
42,Very poor quality and slow shipping. one star late refund waste refund,negative
43,Very poor quality and slow shipping. late,negative
44,I love this product. Highly recommended. reliable great excellent five stars excellent,positive
45,Very poor quality and slow shipping. bad late one star waste #deal,negative
46,Completely disappointed. Do not recommend. waste one star late refund,negative
47,Exceeded my expectations in every way. five stars excellent reliable fast great,positive
48,Amazing quality and fast delivery! Totally satisfied.,positive
49,Works as expected. Nothing special.,neutral
50,Exceeded my expectations in every way. great fast fast great great,positive
51,Customer support was helpful and polite. fast fast great reliable great,positive
52,Great value for the price. Will buy again. fast five stars 👍,positive
53,Terrible experience. The item arrived broken.,negative
54,The item matches the description.,neutral
55,Support was unhelpful and rude. refund waste late refund 👍,negative
56,Terrible experience. The item arrived broken. one star one star,negative
57,"It's fine, does the job. fine works works",neutral
58,"It's fine, does the job. works works",neutral
59,Exceeded my expectations in every way. five stars five stars great five stars reliable,positive
60,Great value for the price. Will buy again.,positive
61,"Okay product, decent for everyday use. standard normal okay",neutral
62,"It's fine, does the job. okay standard http://example.com",neutral
63,"Okay product, decent for everyday use. works okay average normal okay",neutral
64,Very poor quality and slow shipping. broken refund bad waste waste,negative
65,"Okay product, decent for everyday use. standard okay normal #deal",neutral
66,"It's fine, does the job. average",neutral
67,"It's fine, does the job. #deal",neutral
68,I love this product. Highly recommended. fast love great fast five stars,positive
69,Exceeded my expectations in every way. fast love love five stars five stars #deal,positive
70,I love this product. Highly recommended. five stars love,positive
71,Great value for the price. Will buy again. fast fast,positive
72,Exceeded my expectations in every way. excellent five stars,positive
73,Support was unhelpful and rude. refund 👍 #deal,negative
74,I love this product. Highly recommended. great excellent great five stars,positive
75,Exceeded my expectations in every way. fast five stars five stars fast,positive
76,Great value for the price. Will buy again. great excellent excellent excellent,positive
77,Customer support was helpful and polite. reliable five stars,positive
78,The item matches the description. fine average,neutral
79,"It's fine, does the job. average",neutral
80,Terrible experience. The item arrived broken. refund bad late refund,negative
81,Works as expected. Nothing special. standard okay,neutral
82,Customer support was helpful and polite. fast five stars fast excellent excellent 👍,positive
83,Not worth the money. I want a refund. refund refund,negative
84,Customer support was helpful and polite. love love,positive
85,Exceeded my expectations in every way. great,positive
86,Exceeded my expectations in every way. five stars five stars great five stars,positive
87,Completely disappointed. Do not recommend. late,negative
88,Average experience overall. standard http://example.com,neutral
89,Great value for the price. Will buy again. love love great,positive
90,Average experience overall. average fine normal 👍 #deal,neutral
91,Great value for the price. Will buy again. great excellent,positive
92,"Okay product, decent for everyday use. standard works standard",neutral
93,Amazing quality and fast delivery! Totally satisfied. fast reliable excellent excellent great http://example.com,positive
94,Exceeded my expectations in every way. reliable fast reliable five stars great http://example.com,positive
95,Customer support was helpful and polite. love reliable love fast reliable,positive
96,The item matches the description. okay normal standard fine fine,neutral
97,Exceeded my expectations in every way. fast excellent fast,positive
98,Amazing quality and fast delivery! Totally satisfied. reliable five stars five stars http://example.com,positive
99,I love this product. Highly recommended. love five stars,positive
100,Not worth the money. I want a refund.,negative
101,Not worth the money. I want a refund.,negative
102,"It's fine, does the job. okay average works okay",neutral
103,Amazing quality and fast delivery! Totally satisfied. fast great great love,positive
104,Terrible experience. The item arrived broken. http://example.com 👍,negative
105,Not worth the money. I want a refund. waste late one star,negative
106,Not worth the money. I want a refund. refund broken broken,negative
107,Customer support was helpful and polite. five stars love reliable great love,positive
108,Amazing quality and fast delivery! Totally satisfied. great love,positive
109,I love this product. Highly recommended. great excellent excellent excellent,positive
110,Very poor quality and slow shipping.,negative
111,"It's fine, does the job. okay normal",neutral
112,Amazing quality and fast delivery! Totally satisfied. five stars,positive
113,Exceeded my expectations in every way. 👍,positive
114,Average experience overall. normal normal standard fine fine,neutral
115,I love this product. Highly recommended. love excellent love excellent,positive
116,Very poor quality and slow shipping. waste late bad,negative
117,Support was unhelpful and rude. one star broken bad broken,negative
118,Support was unhelpful and rude. bad waste,negative
119,Amazing quality and fast delivery! Totally satisfied. excellent love five stars great great,positive
120,Works as expected. Nothing special. works okay fine average,neutral
121,"It's fine, does the job. 👍",neutral
122,"It's fine, does the job. fine standard",neutral
123,Great value for the price. Will buy again. love fast love love fast #deal,positive
124,Amazing quality and fast delivery! Totally satisfied. five stars,positive
125,Customer support was helpful and polite. 👍,positive
126,"Okay product, decent for everyday use. standard normal",neutral
127,Customer support was helpful and polite.,positive
128,Customer support was helpful and polite. reliable five stars five stars love http://example.com,positive
129,I love this product. Highly recommended. love excellent five stars great,positive
130,"It's fine, does the job. okay #deal",neutral
131,I love this product. Highly recommended. great,positive
132,Not worth the money. I want a refund. broken 👍,negative
133,"It's fine, does the job. standard okay okay",neutral
134,Customer support was helpful and polite. reliable fast #deal,positive
135,Average experience overall. average,neutral
136,Customer support was helpful and polite.,positive
137,Not worth the money. I want a refund. refund,negative
138,The item matches the description. average average okay average fine,neutral
139,Terrible experience. The item arrived broken. bad broken #deal,negative
140,Amazing quality and fast delivery! Totally satisfied. love excellent,positive
141,"It's fine, does the job. okay okay",neutral
142,Works as expected. Nothing special. okay standard,neutral
143,Terrible experience. The item arrived broken. waste waste broken late,negative
144,"Okay product, decent for everyday use. average works #deal",neutral
145,"Okay product, decent for everyday use.",neutral
146,Exceeded my expectations in every way. fast http://example.com,positive
147,Amazing quality and fast delivery! Totally satisfied. fast,positive
148,"It's fine, does the job. average average",neutral
149,I love this product. Highly recommended. fast excellent love http://example.com 👍,positive
150,Customer support was helpful and polite.,positive
151,Terrible experience. The item arrived broken. http://example.com 👍,negative
152,Support was unhelpful and rude. refund late late refund http://example.com,negative
153,Customer support was helpful and polite. five stars reliable five stars five stars love,positive
